类型,节气,日期(约),气候与物候特征,养生核心,重点行动建议,注意事项
二十四节气,立春,2月3-5日,阳气初升，万物始苏。春风送暖，亦带寒邪。,助阳生发，疏肝理气,"1. 早起，着宽松衣物，庭院散步。
2. 饮食增辛甘（如韭菜、香菜、大枣），减酸涩。
3. 按摩太冲穴，推搓两肋疏肝。",“春捂秋冻”，重点保暖背部、腹部、足部，防“倒春寒”。
二十四节气,雨水,2月18-20日,降水增多，地湿上升。肝旺脾弱易受湿困。,健脾祛湿，顾护脾胃,"1. 饮食增甘味（如山药、小米、南瓜）以养脾。
2. 喝薏米红豆粥祛湿。
3. 避免久居湿地，多晒太阳。",慎防外湿（淋雨）与内湿（生冷、油腻饮食）。
二十四节气,惊蛰,3月5-7日,春雷乍动，蛰虫惊醒。阳气振奋，易发肝火。,清肝泻火，滋阴润燥,"1. 饮食清淡，增梨、荸荠、莲藕等甘润之品。
2. 早睡早起，舒展筋骨（如打太极拳）。
3. 保持情绪平和，戒怒。",注意预防流感、风疹等春季流行病。
二十四节气,春分,3月20-22日,昼夜均等，阴阳平衡。肝气最旺，易致失衡。,调和阴阳，平衡肝脾,"1. 饮食寒热均衡，忌大热大寒。
2. 多食时令野菜（如荠菜）以清肝。
3. 踏青、放风筝，疏泄肝气。",此节气易旧病复发（如高血压、月经不调），需注意调养。
二十四节气,清明,4月4-6日,气清景明，万物显形。气候多变，易感风邪。,清肺气，平肝阳，防过敏,"1. 饮食增柔肝养肺之品（如菠菜、银耳）。
2. 艾叶洗浴或熏香，防病祛湿。
3. 扫墓踏青，抒发情志，避免抑郁。",花粉过敏者需注意防护，外出戴口罩。
二十四节气,谷雨,4月19-21日,雨生百谷，湿度大增。脾为湿困，关节易痛。,健脾利湿，养血舒筋,"1. 多食祛湿食物（如白扁豆、赤小豆）。
2. 喝谷雨茶（如绿茶），清火明目。
3. 适度运动出汗，但忌大汗淋漓。",防湿邪侵袭，注意关节保暖，旧疾者可用艾灸调理。
二十四节气,立夏,5月5-7日,夏气始建，心气始旺。天热易耗心阳、伤心阴。,养心安神，护佑心阳,"1. 增苦味食物（如苦瓜、莲子心）以清心火。
2. 午间小憩，闭目养神。
3. 保持心态平和，戒急躁。",“汗为心之液”，避免过度出汗。饮食开始转向清淡。
二十四节气,小满,5月20-22日,麦类籽粒渐满，暑湿气候渐显。易生湿热。,清热利湿，防暑降温,"1. 多食清热利湿食物（如冬瓜、丝瓜、黄瓜）。
2. 忌食生湿助热之品（如肥甘厚味、烧烤）。
3. 运动宜在清晨或傍晚。",注意皮肤病的预防（如湿疹）。避免冷水冲澡，以防毛孔骤闭。
二十四节气,芒种,6月5-7日,仲夏开始，梅雨连绵。湿热交蒸，易感疲乏。,清暑祛湿，益气生津,"1. 常备生脉饮（人参、麦冬、五味子）或喝酸梅汤。
2. 勤换衣，保持干燥。
3. 可用艾草泡脚祛湿。",防“夏打盹”，保证睡眠，但忌贪凉久睡。
二十四节气,夏至,6月21-22日,阳气至极，一阴始生。阳极阴生，重在养心。,保护阳气，静养心阴,"1. 吃面（新麦），尝鲜（如荔枝、杨梅），但勿过。
2. 艾灸（如关元、足三里）以扶阳。
3. 温水洗澡，使毛孔舒张，自然排汗。",避免在最热时段外出或剧烈运动，谨防中暑。忌冰镇饮食直伤脾胃。
二十四节气,小暑,7月6-8日,暑热渐盛，但未至极。心火旺，易耗气伤津。,平心静气，防暑避湿,"1. 多食瓜类（西瓜、冬瓜）和绿豆汤解暑。
2. “冬不坐石，夏不坐木”，防湿热之气侵袭。
3. 保持室内通风。",出汗后及时补充水分和电解质（淡盐水）。注意饮食卫生，防腹泻。
二十四节气,大暑,7月22-24日,一年最热，湿气最重。“暑”、“湿”夹击。,清热解毒，健脾祛湿,"1. 多喝荷叶粥、薏米绿豆粥。
2. “趁热”运动发汗排毒（如三伏天运动）。
3. 保持心态清凉，避免“情绪中暑”。",最需防中暑。可适当进行“三伏贴”、“三伏灸”冬病夏治。
二十四节气,立秋,8月7-9日,暑去凉来，但“秋老虎”余威尚存。气候干燥初显。,滋阴润燥，健脾祛湿,"1. 贴秋膘宜清补（如鸭肉、山药、莲子），而非肥腻。
2. 增酸味食物（如葡萄、山楂）以敛肺气。
3. 早睡早起，与鸡俱兴。",“秋不食瓜”，西瓜等寒凉瓜果应少食。仍需防暑，但早晚加衣。
二十四节气,处暑,8月22-24日,暑气至此而止。秋高气爽，但燥气渐盛。,滋阴润肺，安神定志,"1. 多食白色食物（梨、银耳、百合、莲藕）润肺。
2. 可适当“秋冻”，提高耐寒力，但早晚需保暖。
3. 登高望远，开阔心胸。",防“秋燥”引起的口干、咽干、皮肤干。睡眠要充足，防“秋乏”。
二十四节气,白露,9月7-9日,阴气渐重，露凝而白。昼夜温差大，易感凉燥。,防寒保暖，润燥养阴,"1. 早晚加衣，尤其护好肚脐、后背、脚部。
2. 喝白露茶（乌龙茶），不寒不燥。
3. 饮食可加芝麻、蜂蜜等润燥之品。",晨起有雾时，避免户外剧烈运动。呼吸道疾病易发，注意防护。
二十四节气,秋分,9月22-24日,昼夜再次均等，阴阳平衡。秋燥明显，易伤肺津。,平衡阴阳，滋阴润肺,"1. 饮食均衡，多喝粥汤（如冰糖雪梨羹）。
2. 可吃秋菜（野苋菜），寓意平安健康。
3. 保持情绪稳定，避免悲秋。",防凉燥，温润为主，少食辛辣。可练习深呼吸以养肺。
二十四节气,寒露,10月8-9日,露气寒冷，将凝结也。气候由凉转寒，秋燥更甚。,防寒防燥，养阴固表,"1. 注意足部保暖，“白露身不露，寒露脚不露”。
2. 多食根茎类食物（红薯、山药、萝卜）和坚果。
3. 早睡早起，避免熬夜耗阴。",防感冒、心脑血管疾病。中老年人不宜晨练过早。
二十四节气,霜降,10月23-24日,气肃而凝，露结为霜。秋冬过渡，寒气始凝。,温补脾胃，平补肝肾,"1. 贴秋膘的最后时机，宜温补（如牛肉、羊肉）。
2. 多吃柿子，有助润肺、健脾、止血。
3. 注意关节和胃部保暖。",防寒、防燥、防郁。此时也是进补的开端，为冬季打基础。
二十四节气,立冬,11月7-8日,冬季开始，万物收藏。阳气潜藏，阴气渐盛。,补肾藏精，温养阳气,"1. 立冬补冬，补嘴空。可吃温热补益食物（如饺子、羊肉汤）。
2. 早睡晚起，必待日光，以养阳气。
3. 运动宜舒缓（如太极拳、八段锦），忌大汗。",开始“冬藏”，避免剧烈运动或过度消耗。精神也应内敛，不宜张扬。
二十四节气,小雪,11月22-23日,天空降雪，地寒未甚。光照减少，易情绪低落。,温肾阳，畅情志,"1. 多食黑色食物（黑米、黑豆、黑芝麻）以补肾。
2. 多晒太阳，特别是背部，以助阳气生发。
3. 听音乐、会友，保持开朗心态，防抑郁。",防寒保暖，尤其头部和脚部。可开始适度进补。
二十四节气,大雪,12月6-8日,雪量大，地面可见积雪。寒气袭人，易发寒病。,温补助阳，补肾填精,"1. 进补佳期，可服膏方，或食阿胶、鹿茸等（需辨证）。
2. 多喝热粥（如腊八粥），温暖脾胃。
3. 室内保持一定湿度，防燥。",注意防滑，防呼吸道、心脑血管急症。避免在极寒天气过早外出锻炼。
二十四节气,冬至,12月21-23日,阴极之至，阳气始生。一年中最重要的养生节气。,固护初生阳气，静待一阳来复,"1. 吃饺子/汤圆，寓意团圆安康。
2. 艾灸神阙（肚脐）、关元穴以助阳气升发。
3. 静坐、冥想，让身心深度休养。",忌房事过度，耗损初生阳气。宜“闭关静养”，减少应酬。
二十四节气,小寒,1月5-7日,天气寒冷，但未至极。常是全年最冷时段。,温补脾肾，防寒保暖,"1. 多食温热性食物（如羊肉、核桃、大枣、桂圆）。
2. 坚持用热水泡脚，可加生姜、艾叶。
3. 按摩肾俞、涌泉穴以补肾御寒。",“三九补一冬”，继续加强温补。注意预防冻伤和流感。
二十四节气,大寒,1月20-21日,寒气逆极，冬去春来。寒气最重，阳气渐萌。,温补收官，防寒固表，兼顾春生,"1. 进补减量，适当增健脾理气食物（如萝卜、山药）。
2. 适当增加户外活动，迎接阳气生发。
3. 做好农谚“大寒迎年”的准备，扫除、备年货，愉悦身心。",虽是冬季最后一个节气，保暖仍不可松懈。饮食宜向清淡过渡，为春季“生发”做准备。
