类型,名称,时间,对应经络,养生要点,推荐活动/建议,禁忌/注意
十二时辰,子时,23:00-1:00,胆经,阳气初生，阴气盛极。睡眠是养护初生阳气的最佳方式，所谓“子时觉”。,深度睡眠。万籁俱寂，应进入熟睡状态。,切忌熬夜、工作、进食。此时不睡最伤胆气，日久面色青黄、易生肝胆病。
十二时辰,丑时,1:00-3:00,肝经,肝血推陈出新，解毒排毒。身体进入深度修复阶段。,必须处于睡眠状态。肝脏进行最重要的代谢工作。,此时醒来或未眠，多与肝火旺、肝气不舒有关。长期如此，易导致肝血亏虚、面色晦暗、烦躁易怒。
十二时辰,寅时,3:00-5:00,肺经,气血由静转动，肺重新分配气血。深度睡眠的最后一个阶段。,保持熟睡。为清晨的阳气升发储备能量。,老年人或肺气虚者易在此刻早醒、咳嗽，需注意肺部保养。
十二时辰,卯时,5:00-7:00,大肠经,天门开，地户开。气血流注大肠，宜排便排浊。,起床、喝温开水、排便。可适度轻柔活动，如散步、叩齿、揉腹。,忌赖床不起，错过排便最佳时机。晨起避免剧烈运动。
十二时辰,辰时,7:00-9:00,胃经,阳气最旺，消化力强。早餐如同“春雨贵如油”，滋养身体。,吃一顿丰盛、温暖的早餐。五谷为主，营养均衡。饭后百步走或摩腹。,务必吃早餐，且忌生冷油腻。长期空腹伤胃气，易得胆结石、胃病。
十二时辰,巳时,9:00-11:00,脾经,脾主运化，将早餐精华转化为气血，输送全身。,高效工作、学习的黄金时段。可适量饮水，促进脾的运化。,避免久坐，每小时起身活动。脾虚者此时易感倦怠，可轻拍脾经（腿部内侧）。
十二时辰,午时,11:00-13:00,心经,阴阳交替，心经当令。养心、养神、养阳气。,吃午餐（七分饱）、午休（小憩15-30分钟）。闭目养神即可。,午餐不宜过饱、过快。午睡不宜超过1小时，否则影响下午状态及夜间睡眠。
十二时辰,未时,13:00-15:00,小肠经,小肠分清泌浊，将午餐的营养吸收，糟粕下送。,适量饮水（如绿茶），帮助小肠消化、吸收。可进行舒缓的工作。,此时身体忙于消化，不宜立即进行高强度脑力或体力劳动。
十二时辰,申时,15:00-17:00,膀胱经,新陈代谢高峰，记忆力佳。多喝水，助身体排毒。,多喝水、高效工作、学习。适合进行创造性活动或体育锻炼。,此时膀胱经活跃，可轻敲背部膀胱经（脊柱两侧）以振奋阳气、缓解疲劳。
十二时辰,酉时,17:00-19:00,肾经,贮藏精华，补肾最佳。肾为先天之本，宜静养。,吃晚餐（清淡、少量）、散步、休息。可搓热脚心（涌泉穴）以引火归元。,晚餐宜早宜少。避免剧烈运动、大量出汗，以免耗伤肾精。忌情绪大起大落。
十二时辰,戌时,19:00-21:00,心包经,“喜乐出焉”，主喜乐，护卫心脏。宜放松身心。,放松、娱乐、交流。如阅读、听音乐、与家人聊天、温水泡脚。,避免进行让人兴奋、紧张的活动（如看恐怖片、激烈争论）。为睡眠做准备。
十二时辰,亥时,21:00-23:00,三焦经,百脉休养生息，阴阳和合。准备进入睡眠状态。,静心安神，准备入睡。可进行轻柔的拉伸，放下手机和思虑。,忌熬夜、狂欢、思考复杂问题。此时入睡，百脉得养，肌肤润泽，延缓衰老。