模板名称,模板CODE,场景说明,创建时间,模板内容
订单状态更新,SMS_464170800,订单状态更新后及时通知用户,2023-12-14 17:45:13,您的订单单号为${orde}的订单进度已更新，您可以前往微信小程序查询最新订单进度。（微信搜索或小程序搜索保椿照护）
订单已完成,SMS_464240834,订单完成之后及时通知用户,2023-12-14 17:48:33,您的订单单号为${order}的订单已完成，感谢您对保椿照护的理解与支持，您可以前往微信小程序完成对服务的评价。（微信搜索或小程序搜索保椿照护）
发货通知,SMS_464220831,发货之后通知到用户,2023-12-14 17:51:43,您购买的${name}已发货，您可以前往微信小程序查询商品物流进度。（微信搜索或小程序搜索保椿照护）
售后状态更新,SMS_464245854,售后状态更新之后通知用户,2023-12-14 17:53:59,您的售后单号为${order}的售后进度已更新，您可以前往微信小程序查询最新售后进度。（微信搜索或小程序搜索保椿照护）
售后已完成,SMS_464220835,售后完成之后通知用户,2023-12-14 17:56:37,您的售后单号为${order}的售后已完成，感谢您对保椿照护的理解与支持。
售后-退款状态,SMS_464215824,退款状态更新通知用户,2023-12-14 17:58:39,您的售后单号为${order}的仅退款售后进度已更新，您可以前往微信小程序查询最新售后进度。（微信搜索或小程序搜索保椿照护）
店铺解除绑定,SMS_464210846,店铺解除绑定,2023-12-14 19:39:53,你与${shop}店的解除绑定成功，详细信息请登录保椿白鹳服务人员平台查看。
售后-退款完成,SMS_464355006,售后退款完成后通知用户,2023-12-15 09:23:09,您的售后单号为${order}的仅退款售后已完成，感谢您对保椿照护的理解与支持。
售后-退货退款状态,SMS_464375014,售后退货退款的状态更新之后通知用户,2023-12-15 09:50:58,您的售后单号为${order}的退货退款售后进度已更新，您可以前往微信小程序查询最新售后进度。（微信搜索或小程序搜索保椿照护）
售后-退货退款完成,SMS_464355014,售后退货退款完成后通知用户,2023-12-15 09:52:43,您的售后单号为${order}的退货退款售后已完成，感谢您对保椿照护的理解与支持。
售后-换货状态更新,SMS_464320029,售后换货更新后通知用户,2023-12-15 10:11:37,您的售后单号为${order}的换货售后进度已更新，您可以前往微信小程序查询最新售后进度。（微信搜索或小程序搜索保椿照护）
售后-换货完成,SMS_464380025,售后换货完成后通知用户,2023-12-15 10:16:33,您的售后单号为${order}的换货售后已完成，感谢您对保椿照护的理解与支持。
售后-仲裁状态更新,SMS_464395019,售后-仲裁状态更新通知用户,2023-12-15 10:18:16,您的售后单号为${order}的仲裁进度已更新，您可以前往微信小程序查询最新售后进度。（微信搜索或小程序搜索保椿照护）
服务人员-指派,SMS_464405014,商家指派服务人员,2023-12-15 10:33:57,${shop}商家已指派您完成${name}服务，请及时登录白鹳服务人员平台查看详细信息。
商家-售后被仲裁,SMS_464320041,售后被仲裁通知商家,2023-12-15 10:38:09,您的售后单号为${order}的售后被申请仲裁，请您尽快登录保椿白鹳服务商家平台查看并处理。
商家-售后完成,SMS_464390023,订单售后完成通知服务人员,2023-12-15 10:39:37,您的售后单号为${order}的售后已完成，感谢您对保椿照护的理解与支持。
商家-订单被售后,SMS_464380033,订单被售后通知商家,2023-12-15 10:47:55,你的订单为${order}被申请售后，请您尽快登录保椿白鹳服务商家平台查看并处理。
商家-仲裁状态更新,SMS_464370032,仲裁状态更新通知商家,2023-12-15 10:58:03,您的售后单号为${order}的仲裁进度已更新，请您尽快登录保椿白鹳服务商家平台查看。
商家-售后退货-用户已发货,SMS_464405024,售后退货/换货-用户发货后通知商家,2023-12-15 11:00:54,您的售后单号为${order}的售后进度已更新，请您尽快登录保椿喜鹊商品商家平台查看并处理。
商品商家-商品被售后,SMS_464325035,商品被售后通知商家,2023-12-15 11:03:04,您的售后单号为${order}的售后被申请仲裁，请您尽快登录保椿喜鹊商品商家平台查看并处理。
商品售后被仲裁,SMS_464400027,商品的售后被仲裁了通知商家,2023-12-15 11:15:15,您的售后单号为${order}的售后被申请仲裁，请您尽快登录保椿喜鹊商品商家平台查看并处理。
商品售后-仲裁状态更新,SMS_464335034,商品售后仲裁状态更新通知商家,2023-12-15 11:16:21,您的售后单号为${order}的仲裁进度已更新，请您尽快登录保椿喜鹊商品商家平台查看。